benchmark,nTasks,nNodes,nWorkers,init_mean,init_std,run_mean,run_std,final_mean,final_std,duration_mean,duration_std,scenario
hpccfft,16,1,1,292.75,291.1265832932472,186.5,5.678908345800274,0.25,0.4330127018922193,518.80663434475,299.4418597979506,none
hpccdgemm,16,1,1,76.25,125.72067252445001,1538.75,66.55589755987069,0.0,0.0,1648.35338142,150.6855309382319,none
hpccstream,16,1,1,198.0,336.59545451476316,320.25,29.810862114336782,0.0,0.0,554.787557447,314.81961934833777,none
nasep,16,1,1,149.25,251.58037979937941,971.7500000000001,13.754544703478919,0.0,0.0,1156.26854867275,254.98197322827068,none
hpccrandomringbw,16,1,1,482.0,291.21898976543406,829.0,46.00543446159377,0.0,0.0,1344.66638688325,323.697628529918,none
hpccfft,16,1,1,273.25,271.60759838413946,225.75,4.437059837324726,0.0,0.0,533.438699507,277.8592027252417,cpumem
hpccdgemm,16,1,1,110.25,163.26110222585172,1176.25,24.0351305384431,0.25,0.4330127018922193,1324.7307450135002,159.38255570149533,cpumem
hpccstream,16,1,1,150.75,253.6014343413696,436.5,4.8218253804964775,0.25,0.4330127018922193,622.539031997,251.85577365364747,cpumem
nasep,16,1,1,154.5,192.78550256697213,955.5000000000001,12.658988901172163,0.0,0.0,1146.2294193465,190.32085093452616,cpumem
hpccrandomringbw,16,1,1,468.5,284.73715949977446,1012.0,343.8175388196478,0.0,0.0,1517.84505088125,578.1875607053805,cpumem
hpccfft,16,1,1,326.25,339.58973409100577,215.0,16.077935190813534,0.0,0.0,579.5876192897501,330.12589071152723,cpumem-scale
hpccdgemm,16,4,4,63.0,91.01098834756164,1102.25,26.910732059905023,0.0,0.0,1203.2898415710001,105.63534321218667,cpumem-scale
hpccstream,16,4,4,92.25,152.85511931237372,217.0,33.7860918130523,0.0,0.0,348.596427857,139.27543248912522,cpumem-scale
nasep,16,4,4,127.25000000000001,211.1721750136604,968.5000000000001,8.789197915623474,0.0,0.0,1133.26182990725,211.8379497017277,cpumem-scale
hpccrandomringbw,16,1,1,497.75,301.4708733858049,718.25,51.34868547489799,0.0,0.0,1249.721032654,337.2002111025728,cpumem-scale
hpccfft,16,1,1,316.75,324.9456685355261,220.75,21.405314760591597,0.0,0.0,571.777359473,312.22863504040754,cpumem-granularity
hpccdgemm,16,4,16,76.25,99.26574182465974,983.2500000000001,5.629165124598851,0.0,0.0,1102.311113879,102.65671914305804,cpumem-granularity
hpccstream,16,4,16,94.75,147.9736040650494,218.25,39.42318480285427,0.0,0.0,355.9229494795,130.23558563499228,cpumem-granularity
nasep,16,4,16,109.5,164.9189194725699,960.7500000000001,7.46240577829965,0.0,0.0,1113.4718848300001,170.75743756350073,cpumem-granularity
hpccrandomringbw,16,1,1,473.5,292.20326829109905,778.75,119.95285532241411,0.0,0.0,1290.34997198725,342.55368392113644,cpumem-granularity
