benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,start,complete,performance
hpccrandomringbw,2,1,1,1,2022-05-26T13:35:44Z,2022-05-26T13:35:47Z,2022-05-26T13:43:02Z,2022-05-26T13:43:02Z,2022-05-26T13:35:44Z,2022-05-26T13:43:02Z,1.8864
hpccdgemm,1,1,1,1,2022-05-26T13:36:26Z,2022-05-26T13:36:28Z,2022-05-26T13:56:22Z,2022-05-26T13:56:22Z,2022-05-26T13:36:26Z,2022-05-26T13:56:22Z,31.4692
hpccstream,0,1,1,1,2022-05-26T13:38:19Z,2022-05-26T13:38:21Z,2022-05-26T13:45:47Z,2022-05-26T13:45:47Z,2022-05-26T13:38:19Z,2022-05-26T13:45:47Z,2.77014
minife,3,1,1,1,2022-05-26T13:39:00Z,2022-05-26T13:39:02Z,2022-05-26T13:57:52Z,2022-05-26T13:57:52Z,2022-05-26T13:39:00Z,2022-05-26T13:57:52Z, 8518.38
hpccfft,1,1,1,1,2022-05-26T13:40:00Z,2022-05-26T13:40:02Z,2022-05-26T13:44:00Z,2022-05-26T13:44:00Z,2022-05-26T13:40:00Z,2022-05-26T13:44:00Z,9.3539
minife,2,1,1,1,2022-05-26T13:40:17Z,2022-05-26T13:40:18Z,2022-05-26T13:59:00Z,2022-05-26T13:59:00Z,2022-05-26T13:40:17Z,2022-05-26T13:59:00Z, 8590.48
hpccstream,3,1,1,1,2022-05-26T13:42:10Z,2022-05-26T13:42:13Z,2022-05-26T13:49:25Z,2022-05-26T13:49:25Z,2022-05-26T13:42:10Z,2022-05-26T13:49:25Z,2.75773
hpccrandomringbw,0,1,1,1,2022-05-26T13:43:37Z,2022-05-26T13:43:39Z,2022-05-26T13:50:48Z,2022-05-26T13:50:48Z,2022-05-26T13:43:37Z,2022-05-26T13:50:48Z,1.88747
hpccfft,0,1,1,1,2022-05-26T13:44:03Z,2022-05-26T13:44:06Z,2022-05-26T13:48:03Z,2022-05-26T13:48:03Z,2022-05-26T13:44:03Z,2022-05-26T13:48:03Z,9.34714
hpccdgemm,2,1,1,1,2022-05-26T13:44:58Z,2022-05-26T13:45:00Z,2022-05-26T14:04:42Z,2022-05-26T14:04:42Z,2022-05-26T13:44:58Z,2022-05-26T14:04:42Z,30.5506
hpccstream,2,1,1,1,2022-05-26T13:45:29Z,2022-05-26T13:45:53Z,2022-05-26T13:53:23Z,2022-05-26T13:53:23Z,2022-05-26T13:45:29Z,2022-05-26T13:53:23Z,2.75265
hpccrandomringbw,3,1,1,1,2022-05-26T13:45:57Z,2022-05-26T13:55:48Z,2022-05-26T14:03:02Z,2022-05-26T14:03:02Z,2022-05-26T13:45:57Z,2022-05-26T14:03:02Z,1.86986
hpccdgemm,3,1,1,1,2022-05-26T13:46:36Z,2022-05-26T13:53:38Z,2022-05-26T14:13:13Z,2022-05-26T14:13:13Z,2022-05-26T13:46:36Z,2022-05-26T14:13:13Z,31.0199
hpccfft,3,1,1,1,2022-05-26T13:47:10Z,2022-05-26T13:50:53Z,2022-05-26T13:54:45Z,2022-05-26T13:54:45Z,2022-05-26T13:47:10Z,2022-05-26T13:54:45Z,10.7817
minife,0,1,1,1,2022-05-26T13:47:34Z,2022-05-26T13:49:28Z,2022-05-26T14:08:19Z,2022-05-26T14:08:19Z,2022-05-26T13:47:34Z,2022-05-26T14:08:19Z, 8537.06
hpccrandomringbw,1,1,1,1,2022-05-26T13:48:13Z,2022-05-26T13:48:21Z,2022-05-26T13:55:33Z,2022-05-26T13:55:33Z,2022-05-26T13:48:13Z,2022-05-26T13:55:33Z,1.87643
minife,1,1,1,1,2022-05-26T13:49:16Z,2022-05-26T13:58:04Z,2022-05-26T14:16:55Z,2022-05-26T14:16:55Z,2022-05-26T13:49:16Z,2022-05-26T14:16:55Z, 8540.5
hpccstream,1,1,1,1,2022-05-26T13:49:59Z,2022-05-26T13:56:34Z,2022-05-26T14:04:00Z,2022-05-26T14:04:00Z,2022-05-26T13:49:59Z,2022-05-26T14:04:00Z,2.76551
hpccdgemm,0,1,1,1,2022-05-26T13:50:42Z,2022-05-26T13:54:58Z,2022-05-26T14:15:15Z,2022-05-26T14:15:15Z,2022-05-26T13:50:42Z,2022-05-26T14:15:15Z,29.6531
hpccfft,2,1,1,1,2022-05-26T13:55:13Z,2022-05-26T13:59:12Z,2022-05-26T14:03:12Z,2022-05-26T14:03:12Z,2022-05-26T13:55:13Z,2022-05-26T14:03:12Z,9.42515
